Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Địa chỉ,latitude,longtitude,url
80 m²,17 triệu/tháng,,,Nam,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ sổ hồng,Đầy đủ - cao cấp - mới,06/04/2024,21/04/2024,Tin VIP Kim Cương,39434421,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",10.7949285507202,106.720741271973,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/toi-quan-ly-cho-79-gia-tot-nhat-thi-truong-lh-huu-hen-pr39434421
70 m²,19 triệu/tháng,,,,,,2 phòng,2 phòng,,,07/04/2024,14/04/2024,Tin VIP Kim Cương,38480550,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8024129867554,106.745101928711,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-an-phu-prj-lumiere-riverside/-1pn-tang-dep-view-dep-so-huu-ngay-chi-tu-12trieu-th-2pn-14tr-pr38480550
53 m²,7 triệu/tháng,,,,,,1 phòng,1 phòng,,,07/04/2024,14/04/2024,Tin VIP Kim Cương,35495000,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.7180337905884,106.742393493652,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/so-huu-ngay-cao-cap-gia-chi-tu-7tr-lh-0706679167-pr35495000
83 m²,18 triệu/tháng,,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,06/04/2024,16/04/2024,Tin VIP Kim Cương,29110839,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",10.7825384140015,106.707504272461,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/c-vinmes-bason-158m2-4pn-toa-aqua-view-truc-dien-song-tang-cao-pr29110839
78 m²,23 triệu/tháng,,,Tây - Nam,Đông - Bắc,,2 phòng,2 phòng,,Đầy đủ,06/04/2024,13/04/2024,Tin VIP Kim Cương,38824816,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",10.7841062545776,106.703651428223,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/nam-toan-bo-c-1-2-3-4pn-vinmes-quan-1-tro-tieng-anh-tieng-nhat-pr38824816
92 m²,18 triệu/tháng,,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,06/04/2024,16/04/2024,Tin VIP Kim Cương,29469282,"Vinhomes Central Park, 720A, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",10.7949285507202,106.720741271973,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/chuyen-c-vinmes-1-2-3-4-pn-va-landmark-81-gia-tot-nhat-lh-0901756869-pr29469282
99 m²,15 triệu/tháng,,,,,,2 phòng,2 phòng,,,05/04/2024,12/04/2024,Tin VIP Kim Cương,39312000,"Sunrise City, 2325,27, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",10.7386236190796,106.70059967041,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/chinh-chu-cho-nhanh-1pn-13tr-2pn-16tr-3pn-23tr-key-24-7-pr39312000
53 m²,7 triệu/tháng,,,,,,1 phòng,1 phòng,,,03/04/2024,10/04/2024,Tin VIP Kim Cương,35770675,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.718033790588379,106.74239349365234,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/c-toa-lac-ngay-mat-tien-view-song-7tr-1pn-lh-de-xem-nha-0932139007-pr35770675
60 m²,"5,5 triệu/tháng",,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,04/04/2024,11/04/2024,Tin VIP Kim Cương,37569782,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423034667969,106.84011840820312,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/cap-nhat-gio-hang-c-vinmes-moi-nhat-t7-2023-pr37569782
140 m²,14 triệu/tháng,,,,,,2 phòng,2 phòng,,Có nội thất,04/04/2024,19/04/2024,Tin VIP Kim Cương,39382081,"Dự án Sunshine Diamond River, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",,,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-sunshine-diamond-river/c-cao-cap-city-sai-gon-2pn-3pn-4pn-gia-re-nhat-thi-truong-ngay-my-hung-pr39382081
